,timestamp,open,high,low,close,adjusted close,volume,dividend amount
34,2019-09-30,206.43,226.42,204.22,223.97,54.8587,547408488,0.0
35,2019-08-30,213.9,218.03,192.58,208.74,51.1283,683515746,0.77
36,2019-07-31,203.17,221.37,198.41,213.04,51.9824,473957094,0.0
37,2019-06-28,175.6,201.57,170.27,197.92,48.2931,515218768,0.0
38,2019-05-31,209.88,215.31,174.99,175.07,42.7176,739456573,0.77
39,2019-04-30,191.64,208.48,188.38,200.67,48.7736,506117812,0.0
40,2019-03-29,174.28,197.69,169.5,189.95,46.1681,650981384,0.0
41,2019-02-28,166.96,175.87,165.93,173.15,42.0848,472540723,0.73
42,2019-01-31,154.89,169.0,142.0,166.44,40.2813,828099179,0.0
43,2018-12-31,184.46,184.94,146.59,157.74,38.1758,898917007,0.0
44,2018-11-30,219.05,222.36,170.26,178.58,43.2194,961321947,0.73
45,2018-10-31,227.95,233.47,206.09,218.86,52.7831,789748068,0.0
46,2018-09-28,228.41,229.67,215.3,225.74,54.4423,678972040,0.0
47,2018-08-31,199.13,228.87,197.31,227.63,54.8981,700318837,0.73
48,2018-07-31,183.82,195.96,183.42,190.29,45.7319,393843881,0.0
49,2018-06-29,187.99,194.2,180.73,185.11,44.487,527624365,0.0
50,2018-05-31,166.41,190.37,165.27,186.87,44.91,620976206,0.73
51,2018-04-30,166.64,178.94,160.63,165.26,39.5634,666360147,0.0
52,2018-03-29,178.54,183.5,164.94,167.78,40.1666,701387082,0.0
53,2018-02-28,167.17,180.62,150.24,178.12,42.642,888378184,0.63
54,2018-01-31,170.16,180.1,164.7,167.43,39.9221,639245534,0.0
55,2017-12-29,169.95,177.2,166.46,169.23,40.3512,518560008,0.0
56,2017-11-30,169.87,176.24,165.28,171.85,40.976,581374608,0.63
57,2017-10-31,154.26,169.6499,152.46,169.04,40.1611,496135305,0.0
58,2017-09-29,164.8,164.94,149.16,154.12,36.6163,669594016,0.0
59,2017-08-31,149.1,164.52,148.41,164.0,38.9637,638221161,0.63
60,2017-07-31,144.88,153.99,142.41,148.73,35.193,411377229,0.0
61,2017-06-30,153.17,155.98,142.2,144.02,34.0785,664986406,0.0
62,2017-05-31,145.1,156.65,144.27,152.76,36.1466,635292989,0.63
63,2017-04-28,143.71,145.46,140.06,143.65,33.8524,371280180,0.0
64,2017-03-31,137.89,144.5,137.05,143.66,33.8548,562091214,0.0
65,2017-02-28,127.03,137.48,127.01,136.99,32.283,574968547,0.57
66,2017-01-31,115.8,122.44,114.76,121.35,28.4747,563331160,0.0
67,2016-12-30,110.365,118.0166,108.25,115.82,27.1771,608771645,0.0
68,2016-11-30,113.46,113.77,104.08,110.52,25.9334,721554967,0.57
69,2016-10-31,112.71,118.69,112.28,113.54,26.5045,686914224,0.0
70,2016-09-30,106.14,116.18,102.53,113.05,26.3901,970096738,0.0
71,2016-08-31,104.41,110.23,104.0,106.1,24.7677,630128567,0.57
72,2016-07-29,95.49,104.55,94.37,104.21,24.1963,685779613,0.0
73,2016-06-30,99.02,101.89,91.5,95.6,22.1971,780630235,0.0
74,2016-05-31,93.965,100.73,89.47,99.86,23.1863,901144768,0.57
75,2016-04-29,108.78,112.39,92.51,93.74,21.633,872383623,0.0
76,2016-03-31,97.65,110.42,97.42,108.99,25.1524,745756771,0.0
77,2016-02-29,96.47,98.89,92.59,96.69,22.3138,810862547,0.52
78,2016-01-29,102.61,105.85,92.39,97.34,22.3435,1271848087,0.0
79,2015-12-31,118.75,119.86,104.82,105.26,24.1615,922626259,0.0
80,2015-11-30,119.87,123.82,111.0,118.3,27.1547,750606735,0.52
81,2015-10-30,109.07,121.22,107.31,119.5,27.3127,1113703829,0.0
82,2015-09-30,110.18,116.89,107.36,109.95,25.13,1203789074,0.0
83,2015-08-31,121.5,122.57,92.0,112.76,25.7722,1606359115,0.52
84,2015-07-31,126.9,132.97,119.22,121.3,27.5995,1058280697,0.0
85,2015-06-30,131.2,131.39,124.48,125.425,28.538,878606841,0.0
86,2015-05-29,126.1,132.97,123.36,130.28,29.6427,954152126,0.52
87,2015-04-30,124.82,134.54,123.1,125.15,28.3577,996135511,0.0
88,2015-03-31,129.25,130.28,121.63,124.43,28.1946,1138641910,0.0
89,2015-02-27,118.05,133.6,116.08,128.46,29.1077,1136535493,0.47
90,2015-01-30,111.39,120.0,104.63,117.16,26.4437,1304879185,0.0
91,2014-12-31,118.81,119.25,106.26,110.38,24.9134,1073775862,0.0
92,2014-11-28,108.22,119.75,107.72,118.93,26.8432,820471729,0.47
93,2014-10-31,100.59,108.04,95.18,108.0,24.2712,1360280122,0.0
94,2014-09-30,103.06,103.74,96.14,100.75,22.6419,1523782675,0.0
95,2014-08-29,94.9,102.9,93.28,102.5,23.0352,930931500,0.47
96,2014-07-31,93.52,99.44,92.57,95.6,21.3782,1035191700,0.0
97,2014-06-30,633.96,651.26,89.65,92.93,20.7811,853194497,0.0
98,2014-05-30,592.0,644.17,580.33,633.0,20.2217,204845300,3.29
99,2014-04-30,537.76,599.43,511.33,590.09,18.7461,229823600,0.0
100,2014-03-31,523.42,549.0,522.81,536.74,17.0512,178632100,0.0
101,2014-02-28,502.61,551.19,499.3,526.24,16.7177,210013100,3.05
102,2014-01-31,555.68,560.2,493.55,500.6,15.809,313069800,0.0
103,2013-12-31,558.0,575.1358,538.8,561.02,17.7171,252049900,0.0
104,2013-11-29,524.02,558.33,512.38,556.07,17.5608,186612700,3.05
105,2013-10-31,478.45,539.25,478.28,522.702,16.4109,279919000,0.0
106,2013-09-30,493.1,507.92,447.22,476.75,14.9682,308247900,0.0
107,2013-08-30,455.7527,513.74,453.26,487.216,15.2968,287797800,3.05
108,2013-07-31,402.69,457.3425,401.22,452.53,14.1144,233504100,0.0
109,2013-06-28,450.73,454.43,388.87,396.53,12.3678,250662000,0.0
110,2013-05-31,444.46,465.75,418.9,449.735,14.0272,337411800,3.05
111,2013-04-30,441.9,445.25,385.1,442.78,13.7187,391553200,0.0
112,2013-03-28,438.0,469.95,419.0,442.66,13.715,327745600,0.0
113,2013-02-28,459.11,484.94,437.66,441.4,13.676,333715500,2.65
114,2013-01-31,553.82,555.0,435.0,455.49,14.0331,468693700,0.0
115,2012-12-31,593.65,594.59,501.23,532.1729,16.3956,433312600,0.0
116,2012-11-30,598.22,603.0,505.7501,585.28,18.0317,461780400,2.65
117,2012-10-31,671.5,676.75,587.7,595.32,18.2544,433672500,0.0
118,2012-09-28,665.76,705.07,656.0,667.105,20.4555,328535900,0.0
119,2012-08-31,615.905,680.87,600.25,665.24,20.3983,295578800,2.65
120,2012-07-31,584.73,619.87,570.0,610.76,18.6482,318201800,0.0
121,2012-06-29,569.16,590.0,548.5,584.0,17.8311,280565200,0.0
